food,calories_kcal,carbs_g,protein_g,fat_g,serving_size_g,sugar_g,fibre_g,sodium_mg
Pea mushroom curry (Matar mushroom),258.7381286621094,20.554288864135742,10.729013442993164,14.313301086425781,277.329996848794,5.060786247253418,10.705865859985352,431.2027893066406
Pea curry (Matar ki sabzi),285.6256408691406,25.504287719726562,12.514013290405273,14.16830062866211,277.3299921171212,5.495786190032959,12.31086540222168,429.1727600097656
Pea vadi curry,292.9256286621094,25.57428741455078,13.324012756347656,14.588300704956055,287.32999229495636,5.52578592300415,12.31086540222168,429.5727844238281
Paneer curry,357.1463928222656,16.991788864135742,15.784013748168945,25.058300018310547,202.32999968742914,12.71828556060791,2.8308660984039307,437.2127685546875
Lotus stem curry (Kamal kakdi curry),223.2466278076172,18.68678855895996,3.094012975692749,14.670801162719727,202.33000563092145,4.220786094665527,6.355865955352783,439.1552734375
Gravy for kofta,174.87840270996094,8.78219985961914,2.434575080871582,14.41189956665039,139.2500107228619,5.191550254821777,2.7254750728607178,435.6605529785156
Pea kofta curry (Matar kofta curry),4649.16357421875,32.5281982421875,15.691325187683105,494.77813720703125,780.5000385947526,6.89454984664917,13.302474975585938,648.3355712890625
Spinach kofta curry (Palak kofta curry),4609.4873046875,28.73906135559082,8.75373649597168,495.7291564941406,806.1700129799117,6.600739002227783,7.448133945465088,842.5123291015625
Paneer kofta curry,4703.08447265625,22.915700912475586,16.721324920654297,505.16314697265625,701.0000032713651,13.887049674987793,2.8124749660491943,853.2255249023438
Lotus stem kofta curry (Kamal kakdi kofta curry),4632.43115234375,36.666561126708984,6.99873685836792,495.4666748046875,731.1700056748986,6.42073917388916,7.403134346008301,794.1597900390625
Raw banana kofta curry (Kela kofta curry),4561.330078125,24.756061553955078,4.520737171173096,494.3251647949219,727.1699624283452,16.73573875427246,4.297133922576904,642.7872924804688
Cauliflower kofta curry (Phoolgobhi kofta curry),4559.30810546875,18.608562469482422,7.376236915588379,495.14117431640625,711.1699509190347,5.895238876342773,7.088634014129639,666.00732421875
Cabbage kofta curry (Pattagobhi kofta curry),4562.95263671875,20.497562408447266,6.957736968994141,494.94317626953125,713.1699898846351,6.352738857269287,6.434134006500244,662.2022705078125
Ghiya/Lauki Kofta Curry,4555.0654296875,19.3200626373291,6.3352370262146,494.9506530761719,713.1699815984238,5.872738838195801,5.954133987426758,652.0623168945312
Spinach paneer kofta curry (Palak paneer kofta curry),4620.94189453125,22.439699172973633,10.880325317382812,498.7351379394531,762.4999412582024,8.852049827575684,5.6854753494262695,757.70556640625
Vegetarian egg kofta curry,4649.0771484375,31.57379913330078,9.836625099182129,498.2622985839844,740.9999996217654,8.814200401306152,4.72237491607666,710.5656127929688
Baked vegetables,269.18524169921875,25.52050018310547,11.101499557495117,13.421250343322754,302.5000141729283,7.750499725341797,7.065500259399414,377.2174987792969
Cauliflower musallam (Phoolgobhi musallam),127.05198669433594,9.685315132141113,4.086774826049805,7.6600775718688965,215.97499118317322,3.687227487564087,6.604744911193848,266.419921875
Baked vegetables with spinach ,329.47320556640625,29.347755432128906,13.627531051635742,17.05747413635254,423.5225178212864,8.842294692993164,9.85042953491211,520.2880249023438
Baked potato with skin ,106.41197967529297,8.707425117492676,2.685425043106079,6.664725303649902,78.37499902569313,1.299299955368042,0.9379000067710876,277.8404541015625
Shepherd's pie (vegetarian),367.11248779296875,32.57231903076172,13.643169403076172,19.77073860168457,270.66500742699384,7.528405666351318,6.032920837402344,319.91937255859375
Baked brinjal in tomato sauce,166.44253540039062,17.791799545288086,6.80546236038208,6.995124816894531,430.8750045723493,9.461999893188477,10.083937644958496,343.22100830078125
Dum aloo,4575.56787109375,22.333587646484375,4.682413101196289,496.2740783691406,670.5799772632978,4.749610900878906,4.554565906524658,1232.8883056640625
Spinach paneer (Palak paneer),229.55364990234375,13.089600563049316,11.919425010681152,14.074700355529785,295.5000118845187,7.536900043487549,5.63462495803833,493.0895080566406
Methi chaman,4763.37939453125,27.830501556396484,15.43809986114502,509.8385009765625,1001.4999463155843,17.95454978942871,5.267950057983398,550.2255859375
Sarson ka saag,124.26167297363281,7.533762454986572,4.2508625984191895,8.29055118560791,141.46000539338618,1.0669004917144775,5.224740505218506,234.04969787597656
Jackfruit sabzi (Kathal ki sabzi),2258.724365234375,12.280593872070312,2.490156650543213,244.13307189941406,361.1650190587509,9.352343559265137,3.699457883834839,212.8994140625
Avial,417.3355712890625,28.38780403137207,8.245336532592773,29.943382263183594,335.0499921791107,12.821155548095703,18.2374210357666,273.0509948730469
Al yakhani,342.30316162109375,10.778900146484375,6.629349708557129,30.494298934936523,231.99998481125638,8.26045036315918,2.946899890899658,478.4689636230469
Shahi paneer,405.8562927246094,17.22256088256836,13.132486343383789,32.00542068481445,259.340005701996,13.002215385437012,3.636871099472046,558.4763793945312
Paneer in butter sauce,228.29847717285156,15.211169242858887,10.954206466674805,13.811963081359863,156.79000587042486,11.73930549621582,2.3485829830169678,237.45587158203125
Methi malai paneer,377.0384216308594,15.76039981842041,14.195549964904785,28.5398006439209,193.37500461437742,11.604849815368652,2.8473751544952393,427.66876220703125
Chilli paneer,2308.28271484375,9.817962646484375,6.240877151489258,249.4119110107422,296.8800023134776,4.464842319488525,1.486067533493042,264.3448486328125
